date,startup_name,industry,sub_industry,city,investors,investment_type,amount_usd,investor_list
2016-12-21,The Bluebook,Consumer Internet,online to offline marketing platform,Bangalore,"Indian Angel Network, Let\\xe2\\x80\\x99s Venture",Seed Funding,500000.0,"['Indian Angel Network', ' Let\\\\xe2\\\\x80\\\\x99s Venture']"
2016-12-21,Mamaearth,eCommerce,Babycare Products seller,Delhi,Fireside Ventures & Others,Seed Funding,0.0,['Fireside Ventures & Others']
2016-12-21,Vegetall,eCommerce,Online Vegetable eTailer,Chennai,The Chennai Angels,Seed Funding,162000.0,['The Chennai Angels']
2016-12-22,Innoplexus,Technology,Data as a Service Provider,Pune,HCS Venture capital fund,Private Equity,0.0,['HCS Venture capital fund']
2016-12-22,Mindler,Consumer Internet,Career Planning & Assessment platform,Delhi,Taxmann,Seed Funding,324000.0,['Taxmann']
2016-12-22,Mcaffeine,eCommerce,Personal care product etailer,Bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,300000.0,"['Kaushal Agarwal', ' Harminder Sahani', ' KK Mehra', ' Pranay Jivrajka', ' Navjot Saini']"
2016-12-23,Enkast,Technology,Cloud based CRM for Agencies,Bangalore,Ivy League Alumni Angel Network,Private Equity,2000000.0,['Ivy League Alumni Angel Network']
2016-12-23,Shopkirana,eCommerce,B2B platform for Merchants & Retailers,Indore,"Incubate Fund, Lead Angels Group & Others",Private Equity,0.0,"['Incubate Fund', ' Lead Angels Group & Others']"
2016-12-23,Myadvo,Consumer Internet,Legal Advice Platform,Delhi,"Pradyumna Dalmia, S. Somasegar & Others",Seed Funding,0.0,"['Pradyumna Dalmia', ' S. Somasegar & Others']"
2016-12-23,Asocon,Technology,Process management startup,Noida,Quarizon,Seed Funding,0.0,['Quarizon']
2016-12-23,Lexcomply,Consumer Internet,Compliance Management Software,Delhi,Ajay Relan,Seed Funding,0.0,['Ajay Relan']
2016-12-26,The Postbox,eCommerce,Art & Lifestyle ECommerce Store,Chennai,"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram",Seed Funding,0.0,"['The Chennai Angels', ' Ritesh Mehta', ' Aruna Ganesh Ram']"
2016-12-26,Pandorum Technologies,Technology,3D printed experimental Human Liver tissue creator,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,0.0,"['Sachin Bansal', ' Binny Bansal']"
2016-12-26,Dekkho,Consumer Internet,Video Streaming platform,Mumbai,undisclosed investors,Seed Funding,1200000.0,['undisclosed investors']
2016-12-26,Shadowfox,Logistics,On-Demand Delivery Service,Gurgaon,Eight Roads Ventures,Private Equity,10000000.0,['Eight Roads Ventures']
2016-12-27,Shopx,eCommerce,SAAS ECommerce Retail app,Bangalore,Nandan Nilekani,Private Equity,5000000.0,['Nandan Nilekani']
2016-12-28,Bookeventz,Consumer Internet,Online event-booking platform,Mumbai,"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian",Seed Funding,0.0,"['Lead Angels', ' Mumbai Angels', ' LetsVenture', ' Girish Mathrubootham', ' Anbu Pandian']"
2016-12-29,Healthifyme,Consumer Internet,Fitness Mobile App,Bangalore,NB Ventures,Private Equity,1000000.0,['NB Ventures']
2016-12-29,Letsmd,Consumer Internet,Healthcare plan comparison platform,Delhi,"WaterBridge Ventures,",Seed Funding,0.0,"['WaterBridge Ventures', '']"
2016-12-29,Justbooks,Consumer Internet,Library Chain Aggregator,Bangalore,CoCreate Ventures,Seed Funding,0.0,['CoCreate Ventures']
2016-12-30,Instantpay,Consumer Internet,Digital payments & recharge platform,Delhi,"RB Investments,\\xc2\\xa0 Kaleden Holdings",Private Equity,0.0,"['RB Investments', '\\\\xc2\\\\xa0 Kaleden Holdings']"
2016-11-01,Pickmylaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,200000.0,"['Kedar Lele', ' GHV Accelerator']"
2016-11-02,Freshdesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,55000000.0,"['Sequoia Capital India', ' Accel Partners']"
2016-11-02,Laundryanna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bangalore,Undisclosed Investors,Seed Funding,150000.0,['Undisclosed Investors']
2016-11-02,Letsmd,Consumer Internet,Healthcare Services Comparison Platform,Delhi,"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund",Seed Funding,0.0,"['Calcutta Angels Network', ' LetsVenture', ' Anupam Mittal', ' Currae Healthtech Fund']"
2016-11-02,Sattviko,Food & Beverage,Health Food Restaurant Chain,Delhi,"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain",Seed Funding,0.0,"['Raman Roy', ' Ashish Gupta', ' Yogesh Andlay', ' Vaibhav Jain']"
2016-11-03,Zarget,Technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,6000000.0,['Sequoia India']
2016-11-03,Doselect,Consumer Internet,Skill Showcasing platform,Bangalore,"3one4 Capital, Mumbai Angels, Aarin Capital",Seed Funding,0.0,"['3one4 Capital', ' Mumbai Angels', ' Aarin Capital']"
2016-11-03,Easypolicy,Consumer Internet,Online insurance Portal,Noida,"Unilazer Ventures,",Private Equity,10000000.0,"['Unilazer Ventures', '']"
2016-11-04,Browntape,Technology,cloud-based software solutions company,Goa,Gati Ltd,Private Equity,0.0,['Gati Ltd']
2016-11-04,Connect India,Logistics,Last mile Delivery Network,Bangalore,Aavishkaar Venture Management,Private Equity,1000000.0,['Aavishkaar Venture Management']
2016-11-04,Corseco,Technology,AI-based Software as a Service Solution provider,Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,150000.0,"['Ameera Shah', ' Vivek Bhargava']"
2016-11-04,Vimmune,Consumer Internet,Immunisation Management Platform,Bangalore,Undisclosed investor,Seed Funding,0.0,['Undisclosed investor']
2016-11-04,The Gourmet Jar,eCommerce,Gourmet Food etailer,Noida,Chandigarh Angels Network,Seed Funding,0.0,['Chandigarh Angels Network']
2016-11-05,Medzin,eCommerce,Online ordering & Delivery of medicines,Delhi,A M Sikander,Seed Funding,45000.0,['A M Sikander']
2016-11-05,Bizongo,eCommerce,Packaging Material Marketplace,Mumbai,"IDG Ventures, Accel Partners",Private Equity,3000000.0,"['IDG Ventures', ' Accel Partners']"
2016-11-07,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,75000000.0,['Warburg Pincus']
2016-11-07,Justride,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,3000000.0,"['Justin Kan', ' Qasar Younis', ' Paul Bucche', ' Susa Ventures', ' Kima Ventures', ' Axan Venture', ' SCM Holdings']"
2016-11-09,Iim Jobs,Consumer Internet,Online Job Portal,Delhi,India Quotient,Private Equity,2000000.0,['India Quotient']
2016-11-09,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,12000000.0,['ADAG Reliance Private Equity']
2016-11-10,Golflan,Consumer Internet,Golf Session Online Bookings platform,Delhi,"YourNest Angel Fund, iSON",Private Equity,1000000.0,"['YourNest Angel Fund', ' iSON']"
2016-11-10,Yottaasys,Technology,Data Sciences platform,Bangalore,Gleevoaz Ventures,Private Equity,0.0,['Gleevoaz Ventures']
2016-11-10,Tone Tag,Technology,Contactless Payment Solution,Bangalore,"Arun Seth, T.V. Mohandas Pai, Anand Chandrasekaran, Deepak Ghaisas",Private Equity,0.0,"['Arun Seth', ' T.V. Mohandas Pai', ' Anand Chandrasekaran', ' Deepak Ghaisas']"
2016-11-11,Life In Control,Consumer Internet,Online Diabetes Management platform,Gurgaon,RoundGlass Partners,Private Equity,0.0,['RoundGlass Partners']
2016-11-14,Active,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,3000000.0,"['Kalaari Capital', ' IDG Ventures India']"
2016-11-14,Elasticrun,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,2000000.0,"['Kalaari Capital', ' Norwest Venture Partners']"
2016-11-15,Nobroker,Consumer Internet,Online Rental discovery,Bangalore,Vijay Shekhar Sharma,Seed Funding,0.0,['Vijay Shekhar Sharma']
2016-11-15,Zefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,6000000.0,"['Sequoia India', ' BEENEXT', ' Helion Ventures']"
2016-11-15,Playsimple,Technology,Mobile Gaming portal,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,4000000.0,"['SAIF Partners', ' IDG Ventures India']"
2016-11-16,Stasis Labs,Technology,Cloud based\\xc2\\xa0 health monitoring platform,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,5000000.0,"['RTP-HC', ' Wonder Ventures', ' Techstars Ventures & Others']"
2016-11-17,Scienaptic,Technology,Data Analytics platform,Bangalore,Pramod Bhasin,Seed Funding,0.0,['Pramod Bhasin']
2016-11-17,Koovs,eCommerce,Fashion eTailer,Delhi,Times of India Group & Existing investors,Private Equity,13500000.0,['Times of India Group & Existing investors']
2016-11-17,Lawrato,Consumer Internet,Free Legal Advice,Delhi,Indian Angel Network,Seed Funding,0.0,['Indian Angel Network']
2016-11-17,Trip Tap Toe,Consumer Internet,Online Travel Portal,Gurgaon,R.S Sharma,Seed Funding,0.0,['R.S Sharma']
2016-11-17,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding,147000.0,['Quarizon']
2016-11-18,Gramcover,Finance,Insurance Marketplace for the Rural Sector,Delhi,Omnivore Capital,Seed Funding,1000000.0,['Omnivore Capital']
2016-11-18,Aermed,eCommerce,Online Pharmacy,Mumbai,Hitesh Windlass,Seed Funding,0.0,['Hitesh Windlass']
2016-11-18,Workindia,Consumer Internet,Job Board for Clue Collar Jobs,Mumbai,Asuka Holdings,Seed Funding,0.0,['Asuka Holdings']
2016-11-21,Bats On Delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed Funding,90000.0,['Devdeep Singh']
2016-11-21,Numberz,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,650000.0,"['Kae Capital', ' Khosla Impact']"
2016-11-22,Housing,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,5000000.0,['Softbank Group']
2016-11-22,Awesummly,Consumer Internet,Short News Mobile App,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,147000.0,"['Vivek Bhargava', ' Ameera Shah']"
2016-11-22,Volt,Consumer Internet,Ed-Tech Platform,Mumbai,YMS Mobitech,Seed Funding,0.0,['YMS Mobitech']
2016-11-22,Vymo,Technology,SaaS-based predictive analytics platform,Bangalore,Sequoia India,Private Equity,5000000.0,['Sequoia India']
2016-11-22,Shubhloans,Technology,Consumer Finance & Credit Score platform,Bangalore,"Sanjai Vohra, V. Bunty Bohra",Seed Funding,0.0,"['Sanjai Vohra', ' V. Bunty Bohra']"
2016-11-22,Noddapp,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed Funding,147000.0,['Undisclosed multiple investors']
2016-11-23,Knowlarity,Consumer Internet,Cloud Telephony Platform,Bangalore,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital",Private Equity,20000000.0,"['Delta Partners', ' Sequoia India', '\\\\xc2\\\\xa0 Mayfield', ' Blacksoil', ' Trifecta Capital']"
2016-11-23,Infisecure,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,600000.0,"['IDG Ventures', ' Axilor Ventures']"
2016-11-23,Udaan,eCommerce,B2B Marketplace,Bangalore,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,10000000.0,"['Lightspeed Venture Partners India', ' Lightspeed US']"
2016-11-24,Froyofit,Consumer Internet,Fitness Discovery Platform,Indore,Dr. Pooja Gandhi,Seed Funding,0.0,['Dr. Pooja Gandhi']
2016-11-24,Betterplace,Consumer Internet,Background Verification Services,Bangalore,Venture Highway,Seed Funding,0.0,['Venture Highway']
2016-11-24,Sharechat,Consumer Internet,Local Language Social Networking Platform,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,4000000.0,"['Lightspeed India Partners', ' SAIF Partners', ' India Quotient', ' Venture Highway']"
2016-11-24,Uclean,Consumer Internet,Tech Enabled Laundry Service Provider,Gurgaon,Franchise India,Private Equity,0.0,['Franchise India']
2016-11-24,Servify,Consumer Internet,Personal Device Assistant App,Mumbai,"Blume Ventures, BEENEXT, Barkawi Holdings GmbH, TM Service Technology Holdings Gmbh, Sreevathsa Prabhakar",Private Equity,0.0,"['Blume Ventures', ' BEENEXT', ' Barkawi Holdings GmbH', ' TM Service Technology Holdings Gmbh', ' Sreevathsa Prabhakar']"
2016-11-25,Hubilo,Consumer Internet,End-to-end Event Organizers Solutions,Ahmedabad,"Girish Mathrubootham, VC Karthic, Miten Mehta, Umasankar Nistala, Rakesh Patel, Akash Bhavsar, Jeevanandhan Rajagopal, Vikas Chadha & Others",Seed Funding,0.0,"['Girish Mathrubootham', ' VC Karthic', ' Miten Mehta', ' Umasankar Nistala', ' Rakesh Patel', ' Akash Bhavsar', ' Jeevanandhan Rajagopal', ' Vikas Chadha & Others']"
2016-11-25,Funongo,Consumer Internet,Digital Media Content and Distribution platform,Mumbai,Reliance Entertainment,Private Equity,0.0,['Reliance Entertainment']
2016-11-25,121Policy,Consumer Internet,Online Insurance Platform,Kolkata,Xelpmoc,Seed Funding,0.0,['Xelpmoc']
2016-11-26,Tapchief,Consumer Internet,Professional Expert Advice Platform,Bangalore,"Paytm, Aprameya Radhakrishna, Subramanya Venkat, Venk Krishnan",Seed Funding,0.0,"['Paytm', ' Aprameya Radhakrishna', ' Subramanya Venkat', ' Venk Krishnan']"
2016-11-28,Kloseby,Consumer Internet,proximity based\\xc2\\xa0 Rewards platform,Bangalore,Undisclosed Investor,Seed Funding,100000.0,['Undisclosed Investor']
2016-11-28,Wholesalebox,eCommerce,B2B Wholesale Apparel Marketplace,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,2000000.0,"['Manish Maheshwari', ' Contrarian Vriddhi Fund']"
2016-11-29,Crossahead,Consumer Internet,Creative Artists Discovery & Booking platform,Noida,Mohit Sharma,Seed Funding,0.0,['Mohit Sharma']
2016-11-29,Affordplan,Consumer Internet,Savings platform for Medical Expenses,Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,3000000.0,"['Prime Venture Partners', ' Kalaari Capital']"
2016-11-30,Handytrain,Consumer Internet,Mobile App for SAAS based Training,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,1000000.0,"['Silver Range Investments', ' Lumina Datamatics', ' Shun Yoshida & Others']"
2016-11-30,Shopsup,eCommerce,Hyperlocal Shopping App,Bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding,963000.0,"['Anand Sankeshwar', ' Yang Shu']"
2016-11-30,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding,150000.0,"['Shekhar Sahu', ' Nitesh Pant']"
2016-11-30,Entropika,Technology,"AI, Machine learning Solutions",Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding,200000.0,"['Dileep Bhatt', ' Milind Chaudhary']"
2016-11-30,Marianaiq,Technology,AI-driven B2B marketing platform,Bangalore,Exfinity Venture Partners,Private Equity,2000000.0,['Exfinity Venture Partners']
2016-11-30,Chai Thela,Food & Beverage,Quick Service Restaurants,Noida,Quarizon,Seed Funding,218000.0,['Quarizon']
2016-11-30,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding,100000.0,['Krishna Rokhale']
2016-11-30,Math Buddy,Consumer Internet,Online Math Learn,Vadodara,Menterra Social Impact Fund,Seed Funding,440000.0,['Menterra Social Impact Fund']
2016-11-30,Pulse,Consumer Internet,Campus Social Networking App,Bangalore,SAIF Partners,Private Equity,500000.0,['SAIF Partners']
2016-11-30,Monkeybox,Consumer Internet,Healthy Food Delivery platform,Bangalore,Blume Ventures & Others,Seed Funding,0.0,['Blume Ventures & Others']
2016-11-30,Carcrew,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding,500000.0,['TVS Group']
2016-10-03,Merakisan,eCommerce,Fruit & vegetable eTailer,Bangalore,Mahindra Univeg,Seed Funding,0.0,['Mahindra Univeg']
2016-10-03,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,5000000.0,['Recruit Holdings']
2016-10-03,Helpchat,Consumer Internet,AI Powered Content & Commerce platform,Bangalore,"American Express Ventures, Sequoia Capital",Private Equity,0.0,"['American Express Ventures', ' Sequoia Capital']"
2016-10-03,Uniphore,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000.0,"['IDG Ventures', ' Indian Angel Network (IAN)', ' YourNest Angel Fund']"
2016-10-03,World Art Community,eCommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding,200000.0,['Viraj Tyagi & Others']
2016-10-04,Giftxoxo,eCommerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,450000.0,['Mahindra Holidays & Resorts India Ltd']
2016-10-04,Bharat Bazaar,eCommerce,Online B2B Marketplace,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,0.0,"['BeeNext', ' TV Mohandas Pai', ' Kunal Shah', ' Sandeep Tandon']"
2016-10-04,Goqii,Consumer Internet,Health & Fitness Wearable Device,Mumbai,Ratan Tata,Private Equity,0.0,['Ratan Tata']
2016-10-04,India Gifts Portal,eCommerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,2000000.0,"['Naveen Arya', ' Tarun Joshi']"
2016-10-04,Moglix,eCommerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000.0,"['Accel Partners', ' Jungle Ventures', ' SeedPlus']"
2016-10-04,Netlinx,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000.0,"['Xchange Investors NV', ' TransGlobal FZC']"
2016-10-04,Scandid,Consumer Internet,Product Shopping Comparison App,Pune,3One4 Capital,Private Equity,0.0,['3One4 Capital']
2016-10-04,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000.0,"['Vijay Shekhar Sharma', ' Pravin Gandhi', '\\\\xc2\\\\xa0 Smart Start Fund; Kunal Shah', '\\\\xc2\\\\xa0 Sandeep Tandon', ' Vishal Gondal', ' & Others']"
2016-10-04,Innerchef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,2500000.0,"['Mistletoe', ' M&S Partners']"
2016-10-04,Appsdaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000.0,"['Zodius Capital', ' Kalaari Capital', ' Qualcomm Ventures', ' Russian venture capital fund Ru-Net', ' Mumbai Angels']"
2016-10-05,Muhurtmaza,Consumer Internet,Online Puja Booking Service,Pune,Undisclosed Investor,Seed Funding,0.0,['Undisclosed Investor']
2016-10-05,Azuro,Consumer Internet,Rental Property Finder platform,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,0.0,"['White Unicorn Ventures', ' Kae Capital', ' Mumbai Angels']"
2016-10-05,Neurosynaptic,Technology,Remote Healthcare Delivery Solutions,Bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,0.0,"['Indian Angel Network', ' Healthsquad', ' Axilor Ventures']"
2016-10-05,Ue Lifesciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000.0,"['Kiran Mazumdar-Shaw', ' Unitus Seed Fund']"
2016-10-06,Findmeashoe,Consumer Internet,Footwear Recommendation App,Bangalore,Ventureast Fund Advisors,Seed Funding,0.0,['Ventureast Fund Advisors']
2016-10-06,Realbox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,300000.0,['Hyderabad Angels']
2016-10-06,Sportido,Consumer Internet,Sports Discovery platform,Noida,Sumpoorna Group,Seed Funding,0.0,['Sumpoorna Group']
2016-10-06,Gozefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,1050000.0,"['Helion Venture Partners', ' BeeNext']"
2016-10-07,Rayiot,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding,100000.0,['HAX Accelerator']
2016-10-07,Kooh Sports,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,2200000.0,"['HDFC', ' Faering Capital', ' Elevate Sports']"
2016-10-07,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000.0,"['Sanjay Nayar', ' Vikram Sud', ' Anil Jaggia', ' Narayan Seshadri']"
2016-10-07,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,0.0,['Radhakrishnan Natarajan & Others']
2016-10-10,Vithi,eCommerce,Online Hair Extension etailer,Delhi,undisclosed investor,Seed Funding,375000.0,['undisclosed investor']
2016-10-11,Yupp Tv,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,50000000.0,['Emerald Media']
2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,500000.0,"['Nitin Passi', ' Manickam Mahalingam', ' Udaan Angels', ' Rajesh Arora', ' Arkas Industries']"
2016-10-12,Ziploan,Consumer Internet,online lending platform,Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,\\xc2\\xa0 Badal Malick",Seed Funding,0.0,"['GrowX Ventures', ' Sunil Kalra', ' Arun Venkatachalam', '\\\\xc2\\\\xa0 Badal Malick']"
2016-10-13,Faballey,ecommerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,2000000.0,"['India Quotient', ' FAO Ventures', ' Indian Angel Network', ' Tushar Singh', ' Ranjan Sharma']"
2016-10-13,Shoekonnect,eCommerce,B2B Marketplace for Shoes,Agra,Indian Angel Network,Seed Funding,0.0,['Indian Angel Network']
2016-10-13,Maya,Consumer Internet,Womens Health Tracker App,Bangalore,Rajan Anandan,Seed Funding,0.0,['Rajan Anandan']
2016-10-13,Robovac,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding,450000.0,['Virendra Patel']
2016-10-14,Newspatrolling,Consumer Internet,Online News portal,Delhi,Undisclosed,Seed Funding,25000.0,['Undisclosed']
2016-10-14,Postman,Consumer Internet,API Platform,Bangalore,Nexus Venture Partners,Private Equity,7000000.0,['Nexus Venture Partners']
2016-10-14,Isfc,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,6000000.0,['Gray Matters Capital']
2016-10-14,Beatroute,Technology,SAAS based mobile application platform,Gurgaon,Quarizon Consultancy Services LLP,Seed Funding,0.0,['Quarizon Consultancy Services LLP']
2016-10-14,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,Mumbai,Karan Bhagat,Seed Funding,0.0,['Karan Bhagat']
2016-10-14,Innov8,Consumer Internet,Co-Working Spaces aggregator,Bangalore,Punit Soni,Seed Funding,0.0,['Punit Soni']
2016-10-15,Dailyhunt,Consumer Internet,Vernacular content mobile app,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,25000000.0,"['ByteDance', ' Arun Sarin', ' Matrix Partners', ' Sequoia Capital India', ' Omidyar Network', '\\\\xc2\\\\xa0 Falcon Edge']"
2016-10-15,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding,227000.0,['DSG Consumer Partners']
2016-10-15,Mykindofjob,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,1000000.0,"['Mayank Shah', ' Shreyans Shah']"
2016-10-17,Trilyo,Technology,B2B SAAS based product,Bangalore,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,0.0,"['Vishnu Bhat', ' Rajiv Lunkad', ' Naresh Ravindranath']"
2016-10-17,Rooter,Consumer Internet,Sports Social Network mobile app,Delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,0.0,"['Boman Irani', ' Dhruv Chitgopekar', ' Prantik Dasgupta']"
2016-10-17,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding,300000.0,['Hemant Sahni']
2016-10-17,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,16000000.0,['Bravia Capital']
2016-10-18,3Dexter,Technology,3D Printing Solutions for Edu space,Delhi,Newbie Promoters,Seed Funding,150000.0,['Newbie Promoters']
2016-10-18,Babychakra,Consumer Internet,Parenting and Child Care portal,Mumbai,RoundGlass Partners,Private Equity,0.0,['RoundGlass Partners']
2016-10-18,Coppre,eCommerce,Copper based items etailer,Pune,Ganesh Natarajan,Seed Funding,0.0,['Ganesh Natarajan']
2016-10-18,Mysun,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,2500000.0,['General Catalyst Partners']
2016-10-18,Epathsala,Technology,Cloud based ERP for Accreditation & ICT,Bangalore,"Hyderabad Angels, TLabs",Seed Funding,0.0,"['Hyderabad Angels', ' TLabs']"
2016-10-19,Furlenco,Consumer Internet,Online Furniture Rental platform,Bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,30000000.0,"['Lightbox Ventures', ' Axis Capital & Others']"
2016-10-19,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,1100000.0,"['Saama Capital', ' Raghunandan G', ' Aprameya Radhakrishna']"
2016-10-19,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,750000.0,['Next Orbit Ventures Fund']
2016-10-20,Stayology,Consumer Internet,Stay & Travel related services,Bangalore,Ranjan Pai,Seed Funding,0.0,['Ranjan Pai']
2016-10-20,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,0.0,['Mobikon']
2016-10-20,Railyatri,Consumer Internet,Train Travel Info mobile app,Noida,"Helion Ventures, Blume ventures",Private Equity,0.0,"['Helion Ventures', ' Blume ventures']"
2016-10-21,Chatongo,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Mumbai,Janak Jain,Seed Funding,300000.0,['Janak Jain']
